title,nps_link,date_created,area,lat,long,activity_link,activity_str
Mount Rainier,https://www.nps.gov/mora/index.htm,3/2/1899,236381.64 acres (956.6 km2),46.85,-121.75,"['https://www.nps.gov/mora/planyourvisit/basicinfo.htm', 'https://www.nps.gov/mora/planyourvisit/maps.htm', 'https://www.nps.gov/mora/planyourvisit/calendar.htm', 'https://www.nps.gov/mora/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/mora/planyourvisit/conditions.htm', 'https://www.nps.gov/mora/planyourvisit/road-status.htm', 'https://www.nps.gov/mora/planyourvisit/placestogo.htm', 'https://www.nps.gov/mora/planyourvisit/nearbyattractions.htm', 'https://www.nps.gov/mora/planyourvisit/wilderness-camping-and-hiking.htm', 'https://www.nps.gov/mora/planyourvisit/campgrounds.htm', 'https://www.nps.gov/mora/planyourvisit/climbing.htm', 'https://www.nps.gov/mora/planyourvisit/day-hiking-at-mount-rainier.htm', 'https://www.nps.gov/mora/planyourvisit/trails-of-mount-rainier.htm', 'https://www.nps.gov/mora/planyourvisit/winter-recreation.htm', 'https://www.nps.gov/mora/planyourvisit/wildflower-status.htm', 'https://www.nps.gov/mora/planyourvisit/bicycling.htm', 'https://www.nps.gov/mora/planyourvisit/fishing-and-boating.htm', 'https://www.nps.gov/mora/planyourvisit/rangerprograms.htm', 'https://www.nps.gov/mora/planyourvisit/citizen-ranger.htm', 'https://www.nps.gov/mora/planyourvisit/park-brochure.htm', 'https://www.nps.gov/mora/planyourvisit/safety.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'road-status', 'placestogo', 'nearbyattractions', 'wilderness-camping-and-hiking', 'campgrounds', 'climbing', 'day-hiking-at-mount-rainier', 'trails-of-mount-rainier', 'winter-recreation', 'wildflower-status', 'bicycling', 'fishing-and-boating', 'rangerprograms', 'citizen-ranger', 'park-brochure', 'safety']"
North Cascades,https://www.nps.gov/noca/index.htm,10/2/68,504780.94 acres (2042.8 km2),48.7,-121.2,"['https://www.nps.gov/noca/planyourvisit/basicinfo.htm', 'https://www.nps.gov/noca/planyourvisit/maps.htm', 'https://www.nps.gov/noca/planyourvisit/calendar.htm', 'https://www.nps.gov/noca/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/noca/planyourvisit/conditions.htm', 'https://www.nps.gov/noca/planyourvisit/hiking.htm', 'https://www.nps.gov/noca/planyourvisit/wilderness-trip-planner.htm', 'https://www.nps.gov/noca/planyourvisit/camping.htm', 'https://www.nps.gov/noca/planyourvisit/boating-and-fishing.htm', 'https://www.nps.gov/noca/planyourvisit/climbing.htm', 'https://www.nps.gov/noca/planyourvisit/bicycling.htm', 'https://www.nps.gov/noca/planyourvisit/stehekin.htm', 'https://www.nps.gov/noca/planyourvisit/horseback-riding.htm', 'https://www.nps.gov/noca/planyourvisit/bird-and-wildlife-viewing.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'hiking', 'wilderness-trip-planner', 'camping', 'boating-and-fishing', 'climbing', 'bicycling', 'stehekin', 'horseback-riding', 'bird-and-wildlife-viewing']"
Olympic,https://www.nps.gov/olym/index.htm,6/29/38,922649.41 acres (3733.8 km2),47.97,-123.5,"['https://www.nps.gov/olym/planyourvisit/basicinfo.htm', 'https://www.nps.gov/olym/planyourvisit/maps.htm', 'https://www.nps.gov/olym/planyourvisit/calendar.htm', 'https://www.nps.gov/olym/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/olym/planyourvisit/conditions.htm', 'https://www.nps.gov/olym/planyourvisit/boating.htm', 'https://www.nps.gov/olym/planyourvisit/fishing.htm', 'https://www.nps.gov/olym/planyourvisit/tidepool-activities.htm', 'https://www.nps.gov/olym/planyourvisit/camping.htm', 'https://www.nps.gov/olym/planyourvisit/day-hiking.htm', 'https://www.nps.gov/olym/planyourvisit/wilderness-trip-planner.htm', 'https://www.nps.gov/olym/planyourvisit/wildlife-viewing.htm', 'https://www.nps.gov/olym/planyourvisit/ranger-led-programs.htm', 'https://www.nps.gov/olym/planyourvisit/nightsky.htm', 'https://www.nps.gov/olym/planyourvisit/national-parks-passport-program.htm', 'https://www.nps.gov/olym/planyourvisit/visiting-in-winter.htm', 'https://www.nps.gov/olym/planyourvisit/art-and-photography.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'boating', 'fishing', 'tidepool-activities', 'camping', 'day-hiking', 'wilderness-trip-planner', 'wildlife-viewing', 'ranger-led-programs', 'nightsky', 'national-parks-passport-program', 'visiting-in-winter', 'art-and-photography']"
Petrified Forest,https://www.nps.gov/pefo/index.htm,12/9/62,221390.21 acres (895.9 km2),35.07,-109.78,"['https://www.nps.gov/pefo/planyourvisit/basicinfo.htm', 'https://www.nps.gov/pefo/planyourvisit/maps.htm', 'https://www.nps.gov/pefo/planyourvisit/calendar.htm', 'https://www.nps.gov/pefo/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/pefo/planyourvisit/conditions.htm', 'https://www.nps.gov/pefo/planyourvisit/gettingaround.htm', 'https://www.nps.gov/pefo/planyourvisit/trails.htm', 'https://www.nps.gov/pefo/planyourvisit/hiking.htm', 'https://www.nps.gov/pefo/planyourvisit/backpacking.htm', 'https://www.nps.gov/pefo/planyourvisit/bicycling.htm', 'https://www.nps.gov/pefo/planyourvisit/horseback-riding.htm', 'https://www.nps.gov/pefo/planyourvisit/geocaching.htm', 'https://www.nps.gov/pefo/planyourvisit/guidedtours.htm', 'https://www.nps.gov/pefo/planyourvisit/pets.htm', 'https://www.nps.gov/pefo/planyourvisit/visitorcenters.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'gettingaround', 'trails', 'hiking', 'backpacking', 'bicycling', 'horseback-riding', 'geocaching', 'guidedtours', 'pets', 'visitorcenters']"
Pinnacles,https://www.nps.gov/pinn/index.htm,1/10/13,26685.73 acres (108.0 km2),36.48,-121.16,"['https://www.nps.gov/pinn/planyourvisit/basicinfo.htm', 'https://www.nps.gov/pinn/planyourvisit/maps.htm', 'https://www.nps.gov/pinn/planyourvisit/calendar.htm', 'https://www.nps.gov/pinn/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/pinn/planyourvisit/conditions.htm', 'https://www.nps.gov/pinn/planyourvisit/trails.htm', 'https://www.nps.gov/pinn/planyourvisit/camp.htm', 'https://www.nps.gov/pinn/planyourvisit/ranger-programs.htm', 'https://www.nps.gov/pinn/planyourvisit/climb.htm', 'https://www.nps.gov/pinn/planyourvisit/climbadv.htm', 'https://www.nps.gov/pinn/planyourvisit/advisory.htm', 'https://www.nps.gov/pinn/planyourvisit/cavestatus.htm', 'https://www.nps.gov/pinn/planyourvisit/bird-watching.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'trails', 'camp', 'ranger-programs', 'climb', 'climbadv', 'advisory', 'cavestatus', 'bird-watching']"
Redwood,https://www.nps.gov/redw/index.htm,10/2/68,138999.37 acres (562.5 km2),41.3,-124,"['https://www.nps.gov/redw/planyourvisit/basicinfo.htm', 'https://www.nps.gov/redw/planyourvisit/maps.htm', 'https://www.nps.gov/redw/planyourvisit/calendar.htm', 'https://www.nps.gov/redw/planyourvisit/permits.htm', 'https://www.nps.gov/redw/planyourvisit/conditions.htm', 'https://www.nps.gov/redw/planyourvisit/drives.htm', 'https://www.nps.gov/redw/planyourvisit/camping.htm', 'https://www.nps.gov/redw/planyourvisit/hiking.htm', 'https://www.nps.gov/redw/planyourvisit/bikes.htm', 'https://www.nps.gov/redw/planyourvisit/pets.htm', 'https://www.nps.gov/redw/planyourvisit/redwoodpermits.htm', 'https://www.nps.gov/redw/planyourvisit/visitorcenters.htm', 'https://www.nps.gov/redw/planyourvisit/ranger-programs.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'drives', 'camping', 'hiking', 'bikes', 'pets', 'redwoodpermits', 'visitorcenters', 'ranger-programs']"
Rocky Mountain,https://www.nps.gov/romo/index.htm,1/26/15,265807.25 acres (1075.7 km2),40.4,-105.58,"['https://www.nps.gov/romo/planyourvisit/basicinfo.htm', 'https://www.nps.gov/romo/planyourvisit/maps.htm', 'https://www.nps.gov/romo/planyourvisit/calendar.htm', 'https://www.nps.gov/romo/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/romo/planyourvisit/conditions.htm', 'https://www.nps.gov/romo/planyourvisit/hikes.htm', 'https://www.nps.gov/romo/planyourvisit/scenic-drives.htm', 'https://www.nps.gov/romo/planyourvisit/wildlife_view.htm', 'https://www.nps.gov/romo/planyourvisit/picnicking.htm', 'https://www.nps.gov/romo/planyourvisit/ranger_led_activities.htm', 'https://www.nps.gov/romo/planyourvisit/visitorcenters.htm', 'https://www.nps.gov/romo/planyourvisit/camping.htm', 'https://www.nps.gov/romo/planyourvisit/fishing.htm', 'https://www.nps.gov/romo/planyourvisit/wilderness-camping.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'hikes', 'scenic-drives', 'wildlife_view', 'picnicking', 'ranger_led_activities', 'visitorcenters', 'camping', 'fishing', 'wilderness-camping']"
Saguaro,https://www.nps.gov/sagu/index.htm,10/14/94,91715.72 acres (371.2 km2),32.25,-110.5,"['https://www.nps.gov/sagu/planyourvisit/basicinfo.htm', 'https://www.nps.gov/sagu/planyourvisit/maps.htm', 'https://www.nps.gov/sagu/planyourvisit/calendar.htm', 'https://www.nps.gov/sagu/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/sagu/planyourvisit/conditions.htm', 'https://www.nps.gov/sagu/planyourvisit/hiking-restrictions.htm', 'https://www.nps.gov/sagu/planyourvisit/saguaro_hiking.htm', 'https://www.nps.gov/sagu/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/sagu/planyourvisit/camping.htm', 'https://www.nps.gov/sagu/planyourvisit/2009-junior-ranger-programs.htm', 'https://www.nps.gov/sagu/planyourvisit/fees.htm', 'https://www.nps.gov/sagu/planyourvisit/guided-programs.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'hiking-restrictions', 'saguaro_hiking', 'outdooractivities', 'camping', '2009-junior-ranger-programs', 'fees', 'guided-programs']"
Sequoia,https://www.nps.gov/seki/index.htm,9/25/1890,404062.63 acres (1635.2 km2),36.43,-118.68,"['https://www.nps.gov/seki/planyourvisit/basicinfo.htm', 'https://www.nps.gov/seki/planyourvisit/maps.htm', 'https://www.nps.gov/seki/planyourvisit/calendar.htm', 'https://www.nps.gov/seki/planyourvisit/permits.htm', 'https://www.nps.gov/seki/planyourvisit/conditions.htm', 'https://www.nps.gov/seki/planyourvisit/safety.htm', 'https://www.nps.gov/seki/planyourvisit/dayhikes.htm', 'https://www.nps.gov/seki/planyourvisit/backpacking.htm', 'https://www.nps.gov/seki/planyourvisit/driveviewsum.htm', 'https://www.nps.gov/seki/planyourvisit/sequoiagroves.htm', 'https://www.nps.gov/seki/planyourvisit/picnic.htm', 'https://www.nps.gov/seki/planyourvisit/rockclimb.htm', 'https://www.nps.gov/seki/planyourvisit/rangerprogsched.htm', 'https://www.nps.gov/seki/planyourvisit/horseride.htm', 'https://www.nps.gov/seki/planyourvisit/visitorcenters.htm', 'https://www.nps.gov/seki/planyourvisit/accessibility.htm', 'https://www.nps.gov/seki/planyourvisit/junior-ranger-day.htm', 'https://www.nps.gov/seki/planyourvisit/crystal-cave.htm', 'https://www.nps.gov/seki/planyourvisit/moro.htm', 'https://www.nps.gov/seki/planyourvisit/skiing.htm', 'https://www.nps.gov/seki/planyourvisit/snowplay.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'safety', 'dayhikes', 'backpacking', 'driveviewsum', 'sequoiagroves', 'picnic', 'rockclimb', 'rangerprogsched', 'horseride', 'visitorcenters', 'accessibility', 'junior-ranger-day', 'crystal-cave', 'moro', 'skiing', 'snowplay']"
Shenandoah,https://www.nps.gov/shen/index.htm,12/26/35,199223.77 acres (806.2 km2),38.53,-78.35,"['https://www.nps.gov/shen/planyourvisit/basicinfo.htm', 'https://www.nps.gov/shen/planyourvisit/maps.htm', 'https://www.nps.gov/shen/planyourvisit/calendar.htm', 'https://www.nps.gov/shen/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/shen/planyourvisit/conditions.htm', 'https://www.nps.gov/shen/planyourvisit/hiking-safety.htm', 'https://www.nps.gov/shen/planyourvisit/rangerprograms.htm', 'https://www.nps.gov/shen/planyourvisit/fishing.htm', 'https://www.nps.gov/shen/planyourvisit/campbc.htm', 'https://www.nps.gov/shen/planyourvisit/biking.htm', 'https://www.nps.gov/shen/planyourvisit/exhibits.htm', 'https://www.nps.gov/shen/planyourvisit/driving-skyline-drive.htm', 'https://www.nps.gov/shen/planyourvisit/wildlife-viewing.htm', 'https://www.nps.gov/shen/planyourvisit/camping-in-shenandoah.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'hiking-safety', 'rangerprograms', 'fishing', 'campbc', 'biking', 'exhibits', 'driving-skyline-drive', 'wildlife-viewing', 'camping-in-shenandoah']"
