title,nps_link,date_created,area,lat,long,activity_link,activity_str
Acadia,https://www.nps.gov/acad/index.htm,2/26/19,49076.63 acres (198.6 km2),44.35,-68.21,"['https://www.nps.gov/acad/planyourvisit/basicinfo.htm', 'https://www.nps.gov/acad/planyourvisit/maps.htm', 'https://www.nps.gov/acad/planyourvisit/calendar.htm', 'https://www.nps.gov/acad/planyourvisit/permits.htm', 'https://www.nps.gov/acad/planyourvisit/conditions.htm', 'https://www.nps.gov/acad/planyourvisit/guidedtours.htm', 'https://www.nps.gov/acad/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/acad/planyourvisit/ranger_programs_descriptions.htm', 'https://www.nps.gov/acad/planyourvisit/justforkids.htm', 'https://www.nps.gov/acad/planyourvisit/accessibility.htm', 'https://www.nps.gov/acad/planyourvisit/schoodic.htm', 'https://www.nps.gov/acad/planyourvisit/isle-au-haut.htm', 'https://www.nps.gov/acad/planyourvisit/duckharbor.htm', 'https://www.nps.gov/acad/planyourvisit/fishing.htm', 'https://www.nps.gov/acad/planyourvisit/hiking.htm', 'https://www.nps.gov/acad/planyourvisit/private-campgrounds.htm', 'https://www.nps.gov/acad/planyourvisit/weddings.htm', 'https://www.nps.gov/acad/planyourvisit/winteractivities.htm', 'https://www.nps.gov/acad/planyourvisit/oversized-vehicles.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'guidedtours', 'outdooractivities', 'ranger_programs_descriptions', 'justforkids', 'accessibility', 'schoodic', 'isle-au-haut', 'duckharbor', 'fishing', 'hiking', 'private-campgrounds', 'weddings', 'winteractivities', 'oversized-vehicles']"
American Samoa,https://www.nps.gov/npsa/index.htm,10/31/88,8256.67 acres (33.4 km2),-14.25,-170.68,"['https://www.nps.gov/npsa/planyourvisit/basicinfo.htm', 'https://www.nps.gov/npsa/planyourvisit/maps.htm', 'https://www.nps.gov/npsa/planyourvisit/calendar.htm', 'https://www.nps.gov/npsa/planyourvisit/permits.htm', 'https://www.nps.gov/npsa/planyourvisit/conditions.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions']"
Arches,https://www.nps.gov/arch/index.htm,11/12/71,76678.98 acres (310.3 km2),38.68,-109.57,"['https://www.nps.gov/arch/planyourvisit/basicinfo.htm', 'https://www.nps.gov/arch/planyourvisit/maps.htm', 'https://www.nps.gov/arch/planyourvisit/calendar.htm', 'https://www.nps.gov/arch/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/arch/planyourvisit/conditions.htm', 'https://www.nps.gov/arch/planyourvisit/driving.htm', 'https://www.nps.gov/arch/planyourvisit/backpacking.htm', 'https://www.nps.gov/arch/planyourvisit/biking.htm', 'https://www.nps.gov/arch/planyourvisit/camping.htm', 'https://www.nps.gov/arch/planyourvisit/canyoneer.htm', 'https://www.nps.gov/arch/planyourvisit/commercialtours.htm', 'https://www.nps.gov/arch/planyourvisit/hiking.htm', 'https://www.nps.gov/arch/planyourvisit/horsebackriding.htm', 'https://www.nps.gov/arch/planyourvisit/photography.htm', 'https://www.nps.gov/arch/planyourvisit/programs.htm', 'https://www.nps.gov/arch/planyourvisit/rockclimbing.htm', 'https://www.nps.gov/arch/planyourvisit/stargazing.htm', 'https://www.nps.gov/arch/planyourvisit/audio-brochure.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'driving', 'backpacking', 'biking', 'camping', 'canyoneer', 'commercialtours', 'hiking', 'horsebackriding', 'photography', 'programs', 'rockclimbing', 'stargazing', 'audio-brochure']"
Badlands,https://www.nps.gov/badl/index.htm,11/10/78,242755.94 acres (982.4 km2),43.75,-102.5,"['https://www.nps.gov/badl/planyourvisit/basicinfo.htm', 'https://www.nps.gov/badl/planyourvisit/maps.htm', 'https://www.nps.gov/badl/planyourvisit/calendar.htm', 'https://www.nps.gov/badl/planyourvisit/permits.htm', 'https://www.nps.gov/badl/planyourvisit/conditions.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions']"
Big Bend,https://www.nps.gov/bibe/index.htm,6/12/44,801163.21 acres (3242.2 km2),29.25,-103.25,"['https://www.nps.gov/bibe/planyourvisit/basicinfo.htm', 'https://www.nps.gov/bibe/planyourvisit/maps.htm', 'https://www.nps.gov/bibe/planyourvisit/calendar.htm', 'https://www.nps.gov/bibe/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/bibe/planyourvisit/conditions.htm', 'https://www.nps.gov/bibe/planyourvisit/day_hikes.htm', 'https://www.nps.gov/bibe/planyourvisit/scenic_drives.htm', 'https://www.nps.gov/bibe/planyourvisit/soakinthesprings.htm', 'https://www.nps.gov/bibe/planyourvisit/stargazing.htm', 'https://www.nps.gov/bibe/planyourvisit/river-trips.htm', 'https://www.nps.gov/bibe/planyourvisit/suggested-itineraries.htm', 'https://www.nps.gov/bibe/planyourvisit/ranger-led-programs.htm', 'https://www.nps.gov/bibe/planyourvisit/backcountry-main.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'day_hikes', 'scenic_drives', 'soakinthesprings', 'stargazing', 'river-trips', 'suggested-itineraries', 'ranger-led-programs', 'backcountry-main']"
Biscayne,https://www.nps.gov/bisc/index.htm,6/28/80,172971.11 acres (700.0 km2),25.65,-80.08,"['https://www.nps.gov/bisc/planyourvisit/basicinfo.htm', 'https://www.nps.gov/bisc/planyourvisit/maps.htm', 'https://www.nps.gov/bisc/planyourvisit/calendar.htm', 'https://www.nps.gov/bisc/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/bisc/planyourvisit/conditions.htm', 'https://www.nps.gov/bisc/planyourvisit/guidedtours.htm', 'https://www.nps.gov/bisc/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/bisc/planyourvisit/indooractivities.htm', 'https://www.nps.gov/bisc/planyourvisit/justforkids.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'guidedtours', 'outdooractivities', 'indooractivities', 'justforkids']"
Black Canyon of the Gunnison,https://www.nps.gov/blca/index.htm,10/21/99,30779.83 acres (124.6 km2),38.57,-107.72,"['https://www.nps.gov/blca/planyourvisit/basicinfo.htm', 'https://www.nps.gov/blca/planyourvisit/maps.htm', 'https://www.nps.gov/blca/planyourvisit/calendar.htm', 'https://www.nps.gov/blca/planyourvisit/permits.htm', 'https://www.nps.gov/blca/planyourvisit/conditions.htm', 'https://www.nps.gov/blca/planyourvisit/hikingtrails.htm', 'https://www.nps.gov/blca/planyourvisit/innercanyon.htm', 'https://www.nps.gov/blca/planyourvisit/drives.htm', 'https://www.nps.gov/blca/planyourvisit/fishing.htm', 'https://www.nps.gov/blca/planyourvisit/wildlifewatching.htm', 'https://www.nps.gov/blca/planyourvisit/astronomy.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'hikingtrails', 'innercanyon', 'drives', 'fishing', 'wildlifewatching', 'astronomy']"
Bryce Canyon,https://www.nps.gov/brca/index.htm,2/25/28,35835.08 acres (145.0 km2),37.57,-112.18,"['https://www.nps.gov/brca/planyourvisit/basicinfo.htm', 'https://www.nps.gov/brca/planyourvisit/maps.htm', 'https://www.nps.gov/brca/planyourvisit/calendar.htm', 'https://www.nps.gov/brca/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/brca/planyourvisit/conditions.htm', 'https://www.nps.gov/brca/planyourvisit/sunrise.htm', 'https://www.nps.gov/brca/planyourvisit/sunset.htm', 'https://www.nps.gov/brca/planyourvisit/inspiration.htm', 'https://www.nps.gov/brca/planyourvisit/brycepoint.htm', 'https://www.nps.gov/brca/planyourvisit/easy-hikes.htm', 'https://www.nps.gov/brca/planyourvisit/rimtrail.htm', 'https://www.nps.gov/brca/planyourvisit/hours.htm', 'https://www.nps.gov/brca/planyourvisit/ranger-programs.htm', 'https://www.nps.gov/brca/planyourvisit/moderatehikes.htm', 'https://www.nps.gov/brca/planyourvisit/strenuoushikes.htm', 'https://www.nps.gov/brca/planyourvisit/rainbowyovimpa.htm', 'https://www.nps.gov/brca/planyourvisit/horse.htm', 'https://www.nps.gov/brca/planyourvisit/backcountryinfo.htm', 'https://www.nps.gov/brca/planyourvisit/winter.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'sunrise', 'sunset', 'inspiration', 'brycepoint', 'easy-hikes', 'rimtrail', 'hours', 'ranger-programs', 'moderatehikes', 'strenuoushikes', 'rainbowyovimpa', 'horse', 'backcountryinfo', 'winter']"
Canyonlands,https://www.nps.gov/cany/index.htm,9/12/64,337597.83 acres (1366.2 km2),38.2,-109.93,"['https://www.nps.gov/cany/planyourvisit/basicinfo.htm', 'https://www.nps.gov/cany/planyourvisit/maps.htm', 'https://www.nps.gov/cany/planyourvisit/calendar.htm', 'https://www.nps.gov/cany/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/cany/planyourvisit/conditions.htm', 'https://www.nps.gov/cany/planyourvisit/driving.htm', 'https://www.nps.gov/cany/planyourvisit/backpacking.htm', 'https://www.nps.gov/cany/planyourvisit/biking.htm', 'https://www.nps.gov/cany/planyourvisit/boating.htm', 'https://www.nps.gov/cany/planyourvisit/camping.htm', 'https://www.nps.gov/cany/planyourvisit/climbing.htm', 'https://www.nps.gov/cany/planyourvisit/guidedtrips.htm', 'https://www.nps.gov/cany/planyourvisit/hiking.htm', 'https://www.nps.gov/cany/planyourvisit/horsebackriding.htm', 'https://www.nps.gov/cany/planyourvisit/programs.htm', 'https://www.nps.gov/cany/planyourvisit/stargazing.htm', 'https://www.nps.gov/cany/planyourvisit/placestogo.htm', 'https://www.nps.gov/cany/planyourvisit/publications.htm', 'https://www.nps.gov/cany/planyourvisit/bears.htm', 'https://www.nps.gov/cany/planyourvisit/stockuse.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'driving', 'backpacking', 'biking', 'boating', 'camping', 'climbing', 'guidedtrips', 'hiking', 'horsebackriding', 'programs', 'stargazing', 'placestogo', 'publications', 'bears', 'stockuse']"
Capitol Reef,https://www.nps.gov/care/index.htm,12/18/71,241904.50 acres (979.0 km2),38.2,-111.17,"['https://www.nps.gov/care/planyourvisit/basicinfo.htm', 'https://www.nps.gov/care/planyourvisit/maps.htm', 'https://www.nps.gov/care/planyourvisit/calendar.htm', 'https://www.nps.gov/care/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/care/planyourvisit/conditions.htm', 'https://www.nps.gov/care/planyourvisit/roads.htm', 'https://www.nps.gov/care/planyourvisit/campinga.htm', 'https://www.nps.gov/care/planyourvisit/hiking.htm', 'https://www.nps.gov/care/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/care/planyourvisit/ranger-programs.htm', 'https://www.nps.gov/care/planyourvisit/justforkids.htm', 'https://www.nps.gov/care/planyourvisit/pets.htm', 'https://www.nps.gov/care/planyourvisit/fruita.htm', 'https://www.nps.gov/care/planyourvisit/waterpocketdistrict.htm', 'https://www.nps.gov/care/planyourvisit/cathedralvalley.htm', 'https://www.nps.gov/care/planyourvisit/brochures.htm', 'https://www.nps.gov/care/planyourvisit/leave-no-trace.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'roads', 'campinga', 'hiking', 'outdooractivities', 'ranger-programs', 'justforkids', 'pets', 'fruita', 'waterpocketdistrict', 'cathedralvalley', 'brochures', 'leave-no-trace']"
Carlsbad Caverns,https://www.nps.gov/cave/index.htm,5/14/30,46766.45 acres (189.3 km2),32.17,-104.44,"['https://www.nps.gov/cave/planyourvisit/basicinfo.htm', 'https://www.nps.gov/cave/planyourvisit/maps.htm', 'https://www.nps.gov/cave/planyourvisit/calendar.htm', 'https://www.nps.gov/cave/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/cave/planyourvisit/conditions.htm', 'https://www.nps.gov/cave/planyourvisit/selfguided_tours.htm', 'https://www.nps.gov/cave/planyourvisit/visitor-center.htm', 'https://www.nps.gov/cave/planyourvisit/tour_schedule.htm', 'https://www.nps.gov/cave/planyourvisit/bat_flight_program.htm', 'https://www.nps.gov/cave/planyourvisit/nightsky.htm', 'https://www.nps.gov/cave/planyourvisit/dawn-of-the-bats.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'selfguided_tours', 'visitor-center', 'tour_schedule', 'bat_flight_program', 'nightsky', 'dawn-of-the-bats']"
Channel Islands,https://www.nps.gov/chis/index.htm,3/5/80,249561.00 acres (1009.9 km2),34.01,-119.42,"['https://www.nps.gov/chis/planyourvisit/basicinfo.htm', 'https://www.nps.gov/chis/planyourvisit/maps.htm', 'https://www.nps.gov/chis/planyourvisit/calendar.htm', 'https://www.nps.gov/chis/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/chis/planyourvisit/conditions.htm', 'https://www.nps.gov/chis/planyourvisit/placestogo.htm', 'https://www.nps.gov/chis/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/chis/planyourvisit/programs.htm', 'https://www.nps.gov/chis/planyourvisit/anacapa-things-to-do.htm', 'https://www.nps.gov/chis/planyourvisit/santa-cruz-things-to-do.htm', 'https://www.nps.gov/chis/planyourvisit/san-miguel-things-to-do.htm', 'https://www.nps.gov/chis/planyourvisit/things-to-do-santa-barbara-island.htm', 'https://www.nps.gov/chis/planyourvisit/things-to-do-santa-rosa-island.htm', 'https://www.nps.gov/chis/planyourvisit/visitorcenters.htm', 'https://www.nps.gov/chis/planyourvisit/channel-islands-live-nps.htm', 'https://www.nps.gov/chis/planyourvisit/anacapa.htm', 'https://www.nps.gov/chis/planyourvisit/kayaking.htm', 'https://www.nps.gov/chis/planyourvisit/santa-cruz-island.htm', 'https://www.nps.gov/chis/planyourvisit/camping.htm', 'https://www.nps.gov/chis/planyourvisit/santa-rosa-island.htm', 'https://www.nps.gov/chis/planyourvisit/san-miguel-island.htm', 'https://www.nps.gov/chis/planyourvisit/whale-watching.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'placestogo', 'outdooractivities', 'programs', 'anacapa-things-to-do', 'santa-cruz-things-to-do', 'san-miguel-things-to-do', 'things-to-do-santa-barbara-island', 'things-to-do-santa-rosa-island', 'visitorcenters', 'channel-islands-live-nps', 'anacapa', 'kayaking', 'santa-cruz-island', 'camping', 'santa-rosa-island', 'san-miguel-island', 'whale-watching']"
Congaree,https://www.nps.gov/cong/index.htm,11/10/03,26476.47 acres (107.1 km2),33.78,-80.78,"['https://www.nps.gov/cong/planyourvisit/basicinfo.htm', 'https://www.nps.gov/cong/planyourvisit/maps.htm', 'https://www.nps.gov/cong/planyourvisit/calendar.htm', 'https://www.nps.gov/cong/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/cong/planyourvisit/conditions.htm', 'https://www.nps.gov/cong/planyourvisit/Hiking.htm', 'https://www.nps.gov/cong/planyourvisit/canoeing.htm', 'https://www.nps.gov/cong/planyourvisit/fishing.htm', 'https://www.nps.gov/cong/planyourvisit/events.htm', 'https://www.nps.gov/cong/planyourvisit/camping.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'Hiking', 'canoeing', 'fishing', 'events', 'camping']"
Crater Lake,https://www.nps.gov/crla/index.htm,5/22/02,183224.05 acres (741.5 km2),42.94,-122.1,"['https://www.nps.gov/crla/planyourvisit/basicinfo.htm', 'https://www.nps.gov/crla/planyourvisit/maps.htm', 'https://www.nps.gov/crla/planyourvisit/calendar.htm', 'https://www.nps.gov/crla/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/crla/planyourvisit/conditions.htm', 'https://www.nps.gov/crla/planyourvisit/boat-and-trolley-tours.htm', 'https://www.nps.gov/crla/planyourvisit/overlooks.htm', 'https://www.nps.gov/crla/planyourvisit/winter-activities.htm', 'https://www.nps.gov/crla/planyourvisit/backcountry_camping.htm', 'https://www.nps.gov/crla/planyourvisit/scenic-rim-drive.htm', 'https://www.nps.gov/crla/planyourvisit/ranger-programs.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'boat-and-trolley-tours', 'overlooks', 'winter-activities', 'backcountry_camping', 'scenic-rim-drive', 'ranger-programs']"
Cuyahoga Valley,https://www.nps.gov/cuva/index.htm,10/11/00,32571.88 acres (131.8 km2),41.24,-81.55,"['https://www.nps.gov/cuva/planyourvisit/basicinfo.htm', 'https://www.nps.gov/cuva/planyourvisit/maps.htm', 'https://www.nps.gov/cuva/planyourvisit/calendar.htm', 'https://www.nps.gov/cuva/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/cuva/planyourvisit/conditions.htm', 'https://www.nps.gov/cuva/planyourvisit/trip-planner.htm', 'https://www.nps.gov/cuva/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/cuva/planyourvisit/justforkids.htm', 'https://www.nps.gov/cuva/planyourvisit/train.htm', 'https://www.nps.gov/cuva/planyourvisit/ohio-and-erie-canal-towpath-trail.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'trip-planner', 'outdooractivities', 'justforkids', 'train', 'ohio-and-erie-canal-towpath-trail']"
Death Valley,https://www.nps.gov/deva/index.htm,10/31/94,3408406.73 acres (13793.3 km2),36.24,-116.82,"['https://www.nps.gov/deva/planyourvisit/basicinfo.htm', 'https://www.nps.gov/deva/planyourvisit/maps.htm', 'https://www.nps.gov/deva/planyourvisit/calendar.htm', 'https://www.nps.gov/deva/planyourvisit/conditions.htm', 'https://www.nps.gov/deva/planyourvisit/indooractivities.htm', 'https://www.nps.gov/deva/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/deva/planyourvisit/tours.htm']","['basicinfo', 'maps', 'calendar', 'conditions', 'indooractivities', 'outdooractivities', 'tours']"
Denali,https://www.nps.gov/dena/index.htm,2/26/17,4740911.16 acres (19185.8 km2),63.33,-150.5,"['https://www.nps.gov/dena/planyourvisit/basicinfo.htm', 'https://www.nps.gov/dena/planyourvisit/maps.htm', 'https://www.nps.gov/dena/planyourvisit/calendar.htm', 'https://www.nps.gov/dena/planyourvisit/permits.htm', 'https://www.nps.gov/dena/planyourvisit/conditions.htm', 'https://www.nps.gov/dena/planyourvisit/visiting-denali.htm', 'https://www.nps.gov/dena/planyourvisit/winter-activities.htm', 'https://www.nps.gov/dena/planyourvisit/photography.htm', 'https://www.nps.gov/dena/planyourvisit/dayhiking.htm', 'https://www.nps.gov/dena/planyourvisit/ranger-programs.htm', 'https://www.nps.gov/dena/planyourvisit/campgrounds.htm', 'https://www.nps.gov/dena/planyourvisit/wildlife-viewing.htm', 'https://www.nps.gov/dena/planyourvisit/cycling.htm', 'https://www.nps.gov/dena/planyourvisit/kennels.htm', 'https://www.nps.gov/dena/planyourvisit/savage-river-area.htm', 'https://www.nps.gov/dena/planyourvisit/flightseeing.htm', 'https://www.nps.gov/dena/planyourvisit/backcountry.htm', 'https://www.nps.gov/dena/planyourvisit/mountaineering.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'visiting-denali', 'winter-activities', 'photography', 'dayhiking', 'ranger-programs', 'campgrounds', 'wildlife-viewing', 'cycling', 'kennels', 'savage-river-area', 'flightseeing', 'backcountry', 'mountaineering']"
Dry Tortugas,https://www.nps.gov/drto/index.htm,10/26/92,64701.22 acres (261.8 km2),24.63,-82.87,"['https://www.nps.gov/drto/planyourvisit/basicinfo.htm', 'https://www.nps.gov/drto/planyourvisit/maps.htm', 'https://www.nps.gov/drto/planyourvisit/calendar.htm', 'https://www.nps.gov/drto/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/drto/planyourvisit/conditions.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions']"
Everglades,https://www.nps.gov/ever/index.htm,5/30/34,1508938.57 acres (6106.5 km2),25.32,-80.93,"['https://www.nps.gov/ever/planyourvisit/basicinfo.htm', 'https://www.nps.gov/ever/planyourvisit/maps.htm', 'https://www.nps.gov/ever/planyourvisit/calendar.htm', 'https://www.nps.gov/ever/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/ever/planyourvisit/conditions.htm', 'https://www.nps.gov/ever/planyourvisit/bicycling.htm', 'https://www.nps.gov/ever/planyourvisit/bird-watching-spots.htm', 'https://www.nps.gov/ever/planyourvisit/boating.htm', 'https://www.nps.gov/ever/planyourvisit/camping.htm', 'https://www.nps.gov/ever/planyourvisit/backcamp.htm', 'https://www.nps.gov/ever/planyourvisit/canoe-and-kayak-trails.htm', 'https://www.nps.gov/ever/planyourvisit/fishing.htm', 'https://www.nps.gov/ever/planyourvisit/geocaching.htm', 'https://www.nps.gov/ever/planyourvisit/hiking-trails.htm', 'https://www.nps.gov/ever/planyourvisit/rangerprograms.htm', 'https://www.nps.gov/ever/planyourvisit/sloughslog.htm', 'https://www.nps.gov/ever/planyourvisit/guidedtours.htm', 'https://www.nps.gov/ever/planyourvisit/permittedtours.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'bicycling', 'bird-watching-spots', 'boating', 'camping', 'backcamp', 'canoe-and-kayak-trails', 'fishing', 'geocaching', 'hiking-trails', 'rangerprograms', 'sloughslog', 'guidedtours', 'permittedtours']"
Gates of the Arctic,https://www.nps.gov/gaar/index.htm,12/2/80,7523897.45 acres (30448.1 km2),67.78,-153.3,"['https://www.nps.gov/gaar/planyourvisit/basicinfo.htm', 'https://www.nps.gov/gaar/planyourvisit/maps.htm', 'https://www.nps.gov/gaar/planyourvisit/calendar.htm', 'https://www.nps.gov/gaar/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/gaar/planyourvisit/conditions.htm', 'https://www.nps.gov/gaar/planyourvisit/backpackingandhiking.htm', 'https://www.nps.gov/gaar/planyourvisit/birding.htm', 'https://www.nps.gov/gaar/planyourvisit/camping.htm', 'https://www.nps.gov/gaar/planyourvisit/hunting.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'backpackingandhiking', 'birding', 'camping', 'hunting']"
Gateway Arch,https://www.nps.gov/jeff/index.htm,2/22/18,192.83 acres (0.8 km2),38.6246,-90.18497,"['https://www.nps.gov/jeff/planyourvisit/basicinfo.htm', 'https://www.nps.gov/jeff/planyourvisit/maps.htm', 'https://www.nps.gov/jeff/planyourvisit/calendar.htm', 'https://www.nps.gov/jeff/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/jeff/planyourvisit/conditions.htm', 'https://www.nps.gov/jeff/planyourvisit/museum-at-the-gateway-arch.htm', 'https://www.nps.gov/jeff/planyourvisit/tucker-theater.htm', 'https://www.nps.gov/jeff/planyourvisit/och.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'museum-at-the-gateway-arch', 'tucker-theater', 'och']"
Glacier,https://www.nps.gov/glac/index.htm,5/11/10,1013125.99 acres (4100.0 km2),48.8,-114,"['https://www.nps.gov/glac/planyourvisit/basicinfo.htm', 'https://www.nps.gov/glac/planyourvisit/maps.htm', 'https://www.nps.gov/glac/planyourvisit/calendar.htm', 'https://www.nps.gov/glac/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/glac/planyourvisit/conditions.htm', 'https://www.nps.gov/glac/planyourvisit/hikingthetrails.htm', 'https://www.nps.gov/glac/planyourvisit/backcountry.htm', 'https://www.nps.gov/glac/planyourvisit/ranger-led-activities.htm', 'https://www.nps.gov/glac/planyourvisit/guidedtours.htm', 'https://www.nps.gov/glac/planyourvisit/goingtothesunroad.htm', 'https://www.nps.gov/glac/planyourvisit/camping.htm', 'https://www.nps.gov/glac/planyourvisit/photo-tips.htm', 'https://www.nps.gov/glac/planyourvisit/bicycling.htm', 'https://www.nps.gov/glac/planyourvisit/fishing.htm', 'https://www.nps.gov/glac/planyourvisit/boating.htm', 'https://www.nps.gov/glac/planyourvisit/privatestockuse.htm', 'https://www.nps.gov/glac/planyourvisit/crosscountryskiing.htm', 'https://www.nps.gov/glac/planyourvisit/river-camping.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'hikingthetrails', 'backcountry', 'ranger-led-activities', 'guidedtours', 'goingtothesunroad', 'camping', 'photo-tips', 'bicycling', 'fishing', 'boating', 'privatestockuse', 'crosscountryskiing', 'river-camping']"
Glacier Bay,https://www.nps.gov/glba/index.htm,12/2/80,3223383.43 acres (13044.6 km2),58.5,-137,"['https://www.nps.gov/glba/planyourvisit/basicinfo.htm', 'https://www.nps.gov/glba/planyourvisit/maps.htm', 'https://www.nps.gov/glba/planyourvisit/calendar.htm', 'https://www.nps.gov/glba/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/glba/planyourvisit/conditions.htm', 'https://www.nps.gov/glba/planyourvisit/exploring-bartlett-cove.htm', 'https://www.nps.gov/glba/planyourvisit/kayaking.htm', 'https://www.nps.gov/glba/planyourvisit/hiking.htm', 'https://www.nps.gov/glba/planyourvisit/cruising.htm', 'https://www.nps.gov/glba/planyourvisit/join-a-park-ranger.htm', 'https://www.nps.gov/glba/planyourvisit/outdooractivities.htm', 'https://www.nps.gov/glba/planyourvisit/preserve.htm', 'https://www.nps.gov/glba/planyourvisit/flightseeing.htm', 'https://www.nps.gov/glba/planyourvisit/glacier-bay-bird-watching.htm', 'https://www.nps.gov/glba/planyourvisit/sport-fishing.htm', 'https://www.nps.gov/glba/planyourvisit/brochures.htm', 'https://www.nps.gov/glba/planyourvisit/directions.htm', 'https://www.nps.gov/glba/planyourvisit/hours.htm', 'https://www.nps.gov/glba/planyourvisit/goodsandservices.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'exploring-bartlett-cove', 'kayaking', 'hiking', 'cruising', 'join-a-park-ranger', 'outdooractivities', 'preserve', 'flightseeing', 'glacier-bay-bird-watching', 'sport-fishing', 'brochures', 'directions', 'hours', 'goodsandservices']"
